Module,RegName,Address,DefaultValue,BitRange,Direction,Description
ACTIVE,pll_pdivpbpdclk32fcen_1vh,0x50108000,0,(18:18),R/W,Enable for the 1st post divider O/P Clock Buffer going to Phase-Based Pause Detector (PBPD) Clock with Frequency 32x Fc = 433.92 MHz
ACTIVE,pll_pdivpfdclk1fcen_1vh,0x50108000,0,(19:19),R/W,Enable for the 1st post divider O/P Clock Buffer going to PFD Clock with Frequency 1x Fc = 13.56 MHz
ACTIVE,pll_pdivpfdclk32fcen_1vh,0x50108000,0,(20:20),R/W,Enable for the 1st post divider O/P Clock Buffer going to PFD Clock with Frequency 32x Fc = 433.92 MHz
ACTIVE,pll_pdivtdcclk1fcen_1vh,0x50108000,0,(21:21),R/W,Enable for the 1st post divider O/P Clock Buffer going to TDC Clock with Frequency 1x Fc = 13.56 MHz
ACTIVE,pll_pdivtrxclk1fcen_1vh,0x50108000,1,(22:22),R/W,Enable for the 1st post divider O/P Clock Buffer going to TRX Clock with Frequency 1x Fc = 13.56 MHz
ACTIVE,pll_fbdivffen_1vh,0x50108000,0,(23:23),R/W,FB divider enable
ACTIVE,pll_rfcclkgatingpllrfen_1vh,0x50108000,0,(24:24),R/W,Digital control to enable RF carrier clk for PLL
ACTIVE,pll_rfcclkgatingatdcrfen_1vh,0x50108000,0,(25:25),R/W,Digital control to enable RF carrier clk for analog TDC
ACTIVE,pll_rfcclkgatingpbpdrfen_1vh,0x50108000,0,(26:26),R/W,Digital control to enable RF carrier clk for phase based pause detector
ACTIVE,pll_pauseselect_1vh,0x50108000,0,(27:29),R/W,
ACTIVE,pll_bbwsdatasel_1vh,0x50108000,0,(30:31),R/W,
ACTIVE,pll_pfdtimelmtensel_1vh,0x50108004,0,(0:1),R/W,
ACTIVE,pll_pdivdigprcssclk4fcen_1vh,0x50108004,0,(2:2),R/W,
ACTIVE,pll_pfdpausextallessmode_1vh,0x50108004,0,(3:3),R/W,
ACTIVE,pll_atdcrefdiv2_1vh,0x50108004,0,(4:4),R/W,
ACTIVE,pll_atdcrefdiv4_1vh,0x50108004,0,(5:5),R/W,
ACTIVE,pll_atdccntrbaren_1vh,0x50108004,1,(6:6),R/W,
ACTIVE,dynsparespllmode_1vh,0x50108004,0,(7:14),R/W,
ACTIVE,spare_active_romdyn0,0x50108008,65535,(0:31),R/W,Spare
ACTIVE,spare_active_romdyn1,0x5010800C,65535,(0:31),R/W,Spare
ACTIVE,Reserved,0x50108010,12,(0:31),R,
ACTIVE,Reserved,0x50108014,13,(0:31),R,
ACTIVE,trx_rxferefdacmctrl_1vh,0x50108018,8,(0:3),R/W,"refdac 4 bit binary to control vref  for ""attinc"" therhold comparator"
ACTIVE,trx_rxferefdachctrl_1vh,0x50108018,10,(4:7),R/W,"refdac 4 bit binary to control vref  for ""atthi"" therhold comparator"
ACTIVE,trx_rxferefdaclctrl_1vh,0x50108018,6,(8:11),R/W,"refdac 4 bit binary to control vref  for ""attlo"" therhold comparator"
ACTIVE,trx_rxmxrictrl_1vh,0x50108018,1,(12:13),R/W,Control current programmability in Gm stage
ACTIVE,trx_rxmxrlosl_1vh,0x50108018,0,(14:14),R/W,LO select control    0 => PLL     1=> RX-CLKGEN 
ACTIVE,trx_rxbbai1ctrl_1vh,0x50108018,2,(15:16),R/W,BBA power control for OTAs 1 2 3
ACTIVE,trx_rxbbai2ctrl_1vh,0x50108018,2,(17:18),R/W,BBA power control for OTA 4
ACTIVE,trx_rxbbarf2ctrl_1vh,0x50108018,0,(19:19),R/W,BBA second stage Rf control
ACTIVE,trx_rxadcictrl_1vh,0x50108018,3,(20:21),R/W,Comparator current programmability
ACTIVE,trx_rxadccmprstsl_1vh,0x50108018,0,(22:22),R/W,Comparator enable width selection
ACTIVE,trx_rxadcdlytrmrcen_1vh,0x50108018,0,(23:23),R/W,Selection between ce/rw words
ACTIVE,trx_rxdcdacictrl_1vh,0x50108018,0,(24:25),R/W,cdac current range control 
ACTIVE,trx_rxdfdacictrl_1vh,0x50108018,0,(26:27),R/W,fdac current range control 
ACTIVE,pmu_txldocmfilten_1vh,0x50108018,1,(28:28),R/W,
ACTIVE,pmu_txldocmrange_1vh,0x50108018,1,(29:29),R/W,
ACTIVE,trx_rxlosl_1vh,0x50108018,0,(30:30),R/W,
ACTIVE,trx_rxfeclksel_1vh,0x50108018,1,(31:31),R/W,
ACTIVE,dynsparestrxmode_1vh,0x5010801C,0,(0:7),R/W,
ACTIVE,digctrl_trx_txpamode_1vh,0x5010801C,0,(8:15),R/W,control the PA mode between single ended and differential in case of ALM and in case of single-ended it should select between positive and negative terminals
ACTIVE,digctrl_trx_rxfefrccealmen_1vh,0x5010801C,0,(16:16),R/W,
ACTIVE,digctrl_trx_rxfefrccealmenden_1vh,0x5010801C,0,(17:17),R/W,
ACTIVE,digctrl_trx_rxfeclk13p5msel_1vh,0x5010801C,0,(18:19),R/W,
ACTIVE,digctrl_trx_rxfeprtctmntren_1vh,0x5010801C,1,(20:20),R/W,
ACTIVE,digctrl_rfagcgndflt_1v,0x5010801C,1,(21:26),R/W,
ACTIVE,digctrl_trx_txpasyncen_1vh,0x5010801C,0,(27:27),R/W,
ACTIVE,digctrl_trx_rxfefrc1gn_1vh,0x5010801C,1,(28:28),R/W,
ACTIVE,digctrl_rfagcfrcgn_1vh,0x50108020,63,(0:5),R/W,
ACTIVE,spare_active_romdyn3,0x50108024,65535,(0:31),R/W,Spare
ACTIVE,Reserved,0x50108028,0,(0:31),R/W,
ACTIVE,Reserved,0x5010802C,0,(0:31),R/W,
ACTIVE,trx_rxbbabwctrl_1vh,0x50108030,2,(0:1),R/W,BBA bandwidth control
ACTIVE,dynsparesbbabw_1vh,0x50108030,0,(2:5),R/W,
ACTIVE,spare_active_romdyn4,0x50108034,65535,(0:31),R/W,Spare
ACTIVE,spare_active_romdyn5,0x50108038,65535,(0:31),R/W,Spare
ACTIVE,Reserved,0x5010803C,0,(0:31),R/W,
ACTIVE,Reserved,0x50108040,0,(0:31),R/W,
ACTIVE,trx_abpdthlpfbypass_1vh,0x50108044,0,(0:0),R/W,Digital control to by-pass threshold filter used on envelope 0 => Use filter (Default) 1 => By-pass filter
ACTIVE,dynsparescerx_1vh,0x50108044,0,(1:4),R/W,
ACTIVE,spare_active_romdyn6,0x50108048,65535,(0:31),R/W,Spare
ACTIVE,spare_active_romdyn7,0x5010804C,65535,(0:31),R/W,Spare
ACTIVE,Reserved,0x50108050,0,(0:31),R/W,
ACTIVE,Reserved,0x50108054,0,(0:31),R/W,
ACTIVE,dynsparescetx_1vh,0x50108058,0,(0:3),R/W,
ACTIVE,spare_active_romdyn8,0x5010805C,65535,(0:31),R/W,Spare
ACTIVE,Reserved,0x50108060,0,(0:31),R/W,
ACTIVE,Reserved,0x50108064,0,(0:31),R/W,
ACTIVE,digctrl_pll_pfdtimelmten_1vh,0x50108068,0,(0:0),R/W,
ACTIVE,digctrl_pll_sml1pausegate_1vh,0x50108068,0,(1:1),R/W,
ACTIVE,digctrl_trx_rxfefrccealmend_1vh,0x50108068,0,(2:2),R/W,
ACTIVE,spare_active_romdyn10,0x5010806C,65535,(0:31),R/W,Spare
ACTIVE,spare_active_romdyn11,0x50108070,65535,(0:31),R/W,Spare
ACTIVE,Reserved,0x50108074,0,(0:31),R/W,
ACTIVE,Reserved,0x50108078,0,(0:31),R/W,
ACTIVE,pll_cpilkdnen_1vh,0x5010807C,0,(0:0),R/W,Enable for DN leakage current
ACTIVE,pll_cpilkupen_1vh,0x5010807C,0,(1:1),R/W,Enable for UP leakage current
ACTIVE,pll_1stpdiviqmuxsel_1vh,0x5010807C,0,(2:2),R/W,Selection Control Bit for the IQ Output MUX '0': Choose the IQ generated from the Post Divider Chain (Default) '1': Choose the IQ generated from the Reference Divider Path
ACTIVE,pll_1stpdivrefdiven_1vh,0x5010807C,0,(3:3),R/W,Enable for the IQ Divider of Reference Clock (27.12MHz)
ACTIVE,pll_pdivrefclken_1vh,0x5010807C,0,(4:4),R/W,Gating Signal for the Reference Clock (27.12MHz) entering the binary divider
ACTIVE,pll_fbdivsden_1vh,0x5010807C,1,(5:5),R/W,SDM Enable
ACTIVE,pll_fbdivditheren_1vh,0x5010807C,0,(6:6),R/W,Enable for the Dithering option inside the SDM
ACTIVE,pll_fbdivbindiv2en_1vh,0x5010807C,0,(7:7),R/W,Enable for the Divide by 2 option for the FB Divider O/P
ACTIVE,pll_fbdivbindiv4en_1vh,0x5010807C,0,(8:8),R/W,Enable for the Divide by 4 option for the FB Divider O/P Hint: To generate Divide by 4  Divide by 2 enable should be = 1
ACTIVE,pll_pfdtdel_1vh,0x5010807C,0,(9:10),R/W,Reset Pulse Delay trim
ACTIVE,spare_active_dhdyn0,0x50108080,65535,(0:31),R/W,Spare
ACTIVE,spare_active_dhdyn1,0x50108084,65535,(0:31),R/W,Spare
ACTIVE,spare_active_dhdyn2,0x50108088,65535,(0:31),R/W,Spare
ACTIVE,spare_active_dhdyn3,0x5010808C,65535,(0:31),R/W,Spare
ACTIVE,Reserved,0x50108090,0,(0:31),R/W,
ACTIVE,Reserved,0x50108094,0,(0:31),R/W,
ACTIVE,Reserved,0x50108098,0,(0:31),R/W,
ACTIVE,Reserved,0x5010809C,0,(0:31),R/W,
ACTIVE,pll_pfdtimelmttrm_1vh,0x501080A0,4,(0:2),R/W,Time limit triming Step equals to 0.5/(32Fc) Or 0.5/(48Fc) dependent on the Postdiv settings. Starting from 0.5/(32Fc) to 4/32Fc)
ACTIVE,pll_pbpdncyclebeforepause_1vh,0x501080A0,2,(3:4),R/W,Digital control to select how many PLL cycles should pass with internal pause flag is set to high before setting the output flag 00==>No cycles 01==>1 cycle 10==>2 cycles 11==>3 cycles Note: Not applied yet
ACTIVE,pll_pbpdncycleafterpause_1vh,0x501080A0,2,(5:6),R/W,Digital control to select how many PLL cycles should pass before resetting the output flag 00==>1 cycle 01==>2 cycles 10==>3 cycles 11==>4 cycles Note: Not applied yet
ACTIVE,pll_pbpdpwctrl_1vh,0x501080A0,2,(7:9),R/W,Digital control to select the required delay between PLL and RF before setting the pause flag to high
ACTIVE,trx_abpdcenvthlpf_1vh,0x501080A0,2,(10:13),R/W,Digital control to select value of capacitor used in envelope LPF 0000 => 250fF Each step adds 250fF 1111 => 4pF
ACTIVE,trx_abpdcenvlpf_1vh,0x501080A0,0,(14:16),R/W,Digital control to select value of capacitor used in envelope LPF 000 => 250fF Each step adds 250fF 111 => 2pF
ACTIVE,trx_abpdcenv_1vh,0x501080A0,11,(17:20),R/W,Digital control to select value of capacitor used for envelope detector 0000 => 3pF Each step adds 0.6pF 1111 => 12pF
ACTIVE,trx_abpdagclowgain_1vh,0x501080A0,0,(21:28),R/W,low gain settings MSB=0 => Envelope detector low gain(1.6) MSB=1 => Envelope detector high gain(5) LSB=0 => Buffer acts as buffer LSB=1 => Buffer provide gain of 3
ACTIVE,trx_abpdagchighgain_1vh,0x501080A4,3,(0:7),R/W,high gain settings MSB=0 => Envelope detector low gain(1.6) MSB=1 => Envelope detector high gain(5) LSB=0 => Buffer acts as buffer LSB=1 => Buffer provide gain of 3
ACTIVE,trx_abpdenvth_1vh,0x501080A4,12,(8:11),R/W,Digital control to select threshold level used for comparison in the slicer 1111 => 100% of envelope Each step decrease from 100% by 7.14% 0000 => 0% of envelope
ACTIVE,spare_active_dhdyn4,0x501080A8,65535,(0:31),R/W,Spare
ACTIVE,spare_active_dhdyn5,0x501080AC,65535,(0:31),R/W,Spare
ACTIVE,spare_active_dhdyn6,0x501080B0,65535,(0:31),R/W,Spare
ACTIVE,Reserved,0x501080B4,0,(0:31),R/W,
ACTIVE,Reserved,0x501080B8,0,(0:31),R/W,
ACTIVE,pll_bbwsdatadlysel_1vh,0x501080BC,7,(0:3),R/W,
ACTIVE,spare_active_dhdyn7,0x501080C0,65535,(0:31),R/W,Spare
ACTIVE,Reserved,0x501080C4,0,(0:31),R/W,
ACTIVE,Reserved,0x501080C8,0,(0:31),R/W,
ACTIVE,pll_lfhvcompvbias_1vh,0x501080CC,1,(0:1),R/W,Digital control to choose the threshold voltage  value for the high vcm comparator from 0.8V to 0.65V with step 0.05V)
ACTIVE,pll_lflvcompvbias_1vh,0x501080CC,1,(2:3),R/W,Digital control to choose the threshold voltage  value for the low vcm comparator from 0.2V to 0.35V with step 0.05V)
ACTIVE,pll_lfcalibmuxctrl_1vh,0x501080CC,2,(4:5),R/W,Digital control to enable the voltage divider 00 01: enabled when â€œcalibdoneâ€?signal is 0 and vice versa 10: Always enabled  11: Always disabled Note: The enable of voltage divider is also ORed with â€œlockdetenâ€?to provide the threshold voltages for comparators 
ACTIVE,pll_vcobuffibias_1vh,0x501080CC,3,(6:7),R/W,Controls the programmability of VCO buffer current source from 37.5 uA to 150uA with step = 37.5uA
ACTIVE,pll_vcoibias_1vh,0x501080CC,12,(8:13),R/W,Controls the programmability of VCO buffer current source from 93.75 uA to 956.25 uA with step = 37.5uA
ACTIVE,pll_vcotdcvdden_1vh,0x501080CC,1,(14:14),R/W,Digital control to enable power gating switch for VCO buffer VDD going to TDC
ACTIVE,pll_vcocfsfilteren_1vh,0x501080CC,1,(15:15),R/W,When itâ€™s low  It shorts the resistance of RC filter connected to the  vdd of CFS Code  digital buffers (disable the RC filter) 
ACTIVE,pll_2ndpdivword_1vh,0x501080CC,0,(16:18),R/W,Digital word to choose the division ratio for the MMD of the Second post divider. '0' corresponds to division ratio of 8  7 corresponds to 15
ACTIVE,pll_fbdivsdrst_1vh,0x501080CC,1,(19:19),R/W,Synchronized Reset Signal from Digtop
ACTIVE,pll_atdcbufferdelay_1vh,0x501080CC,0,(20:20),R/W,Digital control to select buffers are enable before and after measurement by 1 or 2 cycles minimum 0 ==> 1 cycle 1 ==> 2 cycles
ACTIVE,pll_atdcaddercarryin_1vh,0x501080CC,0,(21:21),R/W,Digital control to add one or zero to TDC reading 0 ==> No Addition 1 ==> Add one count
ACTIVE,pll_atdcrstpulsectrl_1vh,0x501080CC,3,(22:23),R/W,Digital controls to select min vcoclkgate pulse width with typical steps of 52ps 00 ==> Min 01 ==> Add 52ps typically w.r.t to min 10 ==> Add 104ps typically w.r.t to min 11 ==> Add 156ps typically w.r.t to min
ACTIVE,pll_atdccountersvdden_1vh,0x501080CC,1,(24:24),R/W,Digital control to connect supply to counters Note: This control overrides internal signal inside ATDC
ACTIVE,pll_atdcvdden_1vh,0x501080CC,1,(25:25),R/W,"Digital control to connect supply to analog tdc Note: This control overrides ""tdcint_atdcsupplyen_1v"""
ACTIVE,pll_pauseforced_1vh,0x501080CC,0,(26:26),R/W,
ACTIVE,pll_bbwsdataforced_1vh,0x501080CC,0,(27:27),R/W,
ACTIVE,pll_sml1pausegateinvert_1vh,0x501080CC,0,(28:28),R/W,
ACTIVE,pll_pfdtimelmtenforce_1vh,0x501080CC,0,(29:29),R/W,
ACTIVE,aux_adcmasrst_1vh,0x501080CC,1,(30:30),R/W,ADC Asynchronous master reset
ACTIVE,aux_adcrefhpmode_1vh,0x501080D0,7,(0:2),R/W,Control bits for faster VREF generation (High current/Low output impedance)
ACTIVE,aux_adcinmuxch1rst_1vh,0x501080D0,1,(3:3),R/W,Input mux channel 1 reset
ACTIVE,aux_adcinmuxch2rst_1vh,0x501080D0,1,(4:4),R/W,Input mux channel 2 reset
ACTIVE,aux_adcinmuxch3rst_1vh,0x501080D0,1,(5:5),R/W,Input mux channel 3 reset
ACTIVE,aux_adcinmuxclkswdly_1vh,0x501080D0,0,(6:7),R/W,Delay between different channels  00: 1 clk delay 01: 2 clk delay 10: 3 clk delay 11: 4 clk delay
ACTIVE,aux_adccodein_1vh,0x501080D0,7,(8:10),R/W,CTRL for overlap between subrange DACS (Default Val:7 for FS range)
ACTIVE,aux_adcinmuxrst_1vh,0x501080D0,1,(11:11),R/W,Synchronous reset for Input MUX (Controlled by Digital Controller & resets internal states)
ACTIVE,aux_adcinmuxrstb_1vh,0x501080D0,0,(12:12),R/W,Asynchronous reset for Input MUX (Low by default  turns high with POR)
ACTIVE,aux_adcinmuxen_1vh,0x501080D0,0,(13:13),R/W,Input MUX Enable (Holds current state)
ACTIVE,pmu_txldoclen_1vh,0x501080D0,1,(14:14),R/W,TXLDO Current Limiter enable
ACTIVE,pmu_txldocmen_1vh,0x501080D0,1,(15:15),R/W,TXLDO Current monitor enable
ACTIVE,pmu_txldodisswpulseen_1vh,0x501080D0,1,(16:16),R/W,TXLDO Disable Switch Pulse Enable
ACTIVE,trx_rxmxrloenmode_1vh,0x501080D0,1,(17:17),R/W,"1 --> LO is always ON  while ""0"" makes LO disabled at RF-AGC operation"
ACTIVE,trx_rxadccmpvldmod_1vh,0x501080D0,0,(18:18),R/W,Internal comp valid generation
ACTIVE,trx_rxadcdlymnsl_1vh,0x501080D0,1,(19:19),R/W,Selection between manual or auto trimming
ACTIVE,trx_rxadcistrngen_1vh,0x501080D0,1,(20:20),R/W,Comparator steering option
ACTIVE,trx_rxadctsten_1vh,0x501080D0,0,(21:21),R/W,Enable ADC test mode 
ACTIVE,trx_rxicdacmod_1vh,0x501080D0,3,(22:23),R/W,I branch mode selection (diff single disable) of cdac
ACTIVE,trx_rxqcdacmod_1vh,0x501080D0,3,(24:25),R/W,q branch mode selection (diff single disable) of cdac
ACTIVE,trx_rxifdacmod_1vh,0x501080D0,3,(26:27),R/W,I branch mode selection (diff single disable) of fdac
ACTIVE,trx_rxqfdacmod_1vh,0x501080D0,3,(28:29),R/W,q branch mode selection (diff single disable) of fdac
ACTIVE,trx_rxcdacbypfrc_1vh,0x501080D0,1,(30:30),R/W,Forces bypassing the LPF in CDACs
ACTIVE,trx_rxfdacbypfrc_1vh,0x501080D0,1,(31:31),R/W,Forces bypassing the LPF in FDACs
ACTIVE,trx_rxcdactsten_1vh,0x501080D4,0,(0:0),R/W,Enable DCOC DACs test mode
ACTIVE,trx_rxfdactsten_1vh,0x501080D4,0,(1:1),R/W,Enable DCOC DACs test mode
ACTIVE,trx_txpanvrclkbyp_1vh,0x501080D4,1,(2:2),R/W,bypass non-overlapped clock feature
ACTIVE,trx_txpaphadjstp_1vh,0x501080D4,0,(3:7),R/W,control phase of +ve RF carrier of PA
ACTIVE,trx_txpaphadjstn_1vh,0x501080D4,0,(8:12),R/W,control phase of -ve RF carrier of PA
ACTIVE,trx_txpafsten_1vh,0x501080D4,1,(13:13),R/W,Disable PMOS through gating predriver clock at high level
ACTIVE,trx_txpaslwen_1vh,0x501080D4,0,(14:14),R/W,Enable pull up resistor for OFF PMOS 
ACTIVE,pmu_predrvrldobypass_1vh,0x501080D4,0,(15:15),R/W,PA Pre-Drivers LDO bypass
ACTIVE,trx_rxfehystensl_1vh,0x501080D4,0,(16:16),R/W,select between enable therhold comparator either from agc freeze out or  test enable    this only for loflag   hiflag comp
ACTIVE,trx_rxfeattincensl_1vh,0x501080D4,0,(17:17),R/W,select betweenn enable therhold comparator either from agc freeze out or  test enable    this only middle comp   attinc_flag
ACTIVE,trx_rxfeclkdlysl_1vh,0x501080D4,0,(18:19),R/W,2 bit to select track &hold cclock delay and digital agc clock delay
ACTIVE,trx_rxfextrcpcnt_1vh,0x501080D4,0,(20:20),R/W,1 bit contigency to extra capacitance on track and hold circuit 
ACTIVE,trx_rxfecrntprgclkcmp_1vh,0x501080D4,0,(21:22),R/W,2 bit current contigency for clock comparator
ACTIVE,trx_rxfecrntprgthrshcmp_1vh,0x501080D4,0,(23:24),R/W,2 bit current contigency for 3-therhold comparator
ACTIVE,trx_rxfetswpksl_1vh,0x501080D4,0,(25:25),R/W,select either test positive or negative peak
ACTIVE,trx_rxfetswpken_1vh,0x501080D4,0,(26:26),R/W,enable testing peak
ACTIVE,trx_rxfedgtmxen_1vh,0x501080D4,0,(27:27),R/W,digital control for enable testing of digital signals 
ACTIVE,rfagcdvst_1vh,0x501080D4,0,(28:29),R/W,controling clock divide ratio
ACTIVE,rfagcfrcgnen_1vh,0x501080D4,0,(30:30),R/W,"RF AGC Gain (Attenuator setting) force enable  selects the value of ""rfagc_frcgainval_d"" as the attenuator setting"
ACTIVE,rfagcrstn_1vh,0x501080D4,0,(31:31),R/W,"same reset as of agc but used in flip flops which at ""analog delay elements"""
ACTIVE,trx_smplclkrstb_1vh,0x501080D8,0,(0:0),R/W,Reset of sampled clocks out for PI calibration (active low)
ACTIVE,pmu_txldonoloadcurrenten_1vh,0x501080D8,0,(1:1),R/W,TXLDO no load dummy current Enable
ACTIVE,pmu_txldoreftrim_1vh,0x501080D8,0,(2:2),R/W,
ACTIVE,Reserved,0x501080D8,0,(3:31),R/W,
ACTIVE,sml0_pll_clk_grp_en,0x501080DC,0,(0:0),R/W,SML0 PLL CLK Group Enable
ACTIVE,actvclkgen_tdc_interface_clk_en,0x501080DC,0,(1:1),R/W,TDC Interface Clock Enable
ACTIVE,actvclkgen_vco_cal_clk_en,0x501080DC,0,(2:2),R/W,VCO Calibration Clock Enable
ACTIVE,actvclkgen_pll_adjust_clk_en,0x501080DC,0,(3:3),R/W,PLL Adjust Clock Enable
ACTIVE,actvclkgen_pll_pause_monitor_clk_en,0x501080DC,0,(4:4),R/W,PLL Pause Monitor Clock Enable
ACTIVE,sml0_rx_clk_grp_en,0x501080DC,0,(5:5),R/W,SML0 RX CLK Group Enable
ACTIVE,actvclkgen_dcoc_fc_clk_en,0x501080DC,0,(6:6),R/W,DCOC FC Clock Enable
ACTIVE,actvclkgen_dcoc_2fc_clk_en,0x501080DC,0,(7:7),R/W,DCOC 2FC Clock Enable
ACTIVE,actvclkgen_dcoc_fir_clk_en,0x501080DC,0,(8:8),R/W,DCOC FIR Clock Enable
ACTIVE,actvclkgen_bb_agc_deci_clk_en,0x501080DC,0,(9:9),R/W,BB AGC DECI Clock Enable
ACTIVE,actvclkgen_bb_agc_adc_div2_clk_en,0x501080DC,0,(10:10),R/W,BB AGC ADC/2 Clock Enable
ACTIVE,actvclkgen_bb_agc_deci_op_clk_en,0x501080DC,0,(11:11),R/W,BB AGC DECI OP Clock Enable
ACTIVE,actvclkgen_bb_agc_adc_op_clk_en,0x501080DC,0,(12:12),R/W,BB AGC ADC OP Clock Enable
ACTIVE,actvclkgen_bb_agc_sys_clk_en,0x501080DC,0,(13:13),R/W,BB AGC SYS Clock Enable
ACTIVE,actvclkgen_trgtphopt_clk_en,0x501080DC,0,(14:14),R/W,trgtphopt Clock Enable
ACTIVE,actvclkgen_rx_lpf_bw_clk_en,0x501080DC,0,(15:15),R/W,RX LPF BW Clock Enable
ACTIVE,actvclkgen_rfagc_clk_en,0x501080DC,0,(16:16),R/W,RF AGC Clock Enable
ACTIVE,sml0_tx_clk_grp_en,0x501080DC,0,(17:17),R/W,SML0 TX CLK Group Enable
ACTIVE,actvclkgen_pa_ctrl_clk_en,0x501080DC,0,(18:18),R/W,PA Control Clock Enable
ACTIVE,actvclkgen_pa_ctrl_cdc_clk_en,0x501080DC,0,(19:19),R/W,PA Control CDC Clock Enable
ACTIVE,actvclkgen_tx_ldo_ctrl_clk_en,0x501080DC,0,(20:20),R/W,TX LDO Control Clock Enable
ACTIVE,sml1_clk_grp_en,0x501080DC,0,(21:21),R/W,SML1 CLK Group Enable
ACTIVE,actvclkgen_sml1_clk_en,0x501080DC,0,(22:22),R/W,SML1 Clock Enable
ACTIVE,actvclkgen_sml1_rxctrl_rfagc_sync_clk_en,0x501080DC,0,(23:23),R/W,SML1 RX CTRL RF AGC SYNC Clock Enable
ACTIVE,actvclkgen_fssi_clk_en,0x501080DC,0,(24:24),R/W,FSSI Clock Enable
ACTIVE,actvclkgen_gpadc_conv_clk_en,0x501080DC,0,(25:25),R/W,GP ADC Clock Enable
ACTIVE,clitop_adc_root_clk_grp_en,0x501080DC,0,(26:26),R/W,CLI and ADC CLK Group Enable
ACTIVE,actvclkgen_clitop_txser_clk_en,0x501080DC,0,(27:27),R/W,CLI TX SER Clock Enable
ACTIVE,actvclkgen_clitop_cea_0p5fc_clk_en,0x501080DC,0,(28:28),R/W,CLI CEA 0.5*FC Clock Enable
ACTIVE,actvclkgen_clitop_cea_fc_clk_en,0x501080DC,0,(29:29),R/W,CLI CEA FC Clock Enable
ACTIVE,actvclkgen_dfemdmtop_adcsample_clk_en,0x501080DC,0,(30:30),R/W,DFE MDMTOP ADC Sample Clock Enable
ACTIVE,Reserved,0x501080DC,0,(31:31),R/W,
ACTIVE,actvclkgen_dsp_subsys_clk_en,0x501080E0,1,(0:0),R/W,DSP SYS Clock Enable
ACTIVE,actvclkgen_dsp_xtmem_clk_en,0x501080E0,1,(1:1),R/W,DSP XT MEM Clock Enable
ACTIVE,actvclkgen_dsp_clitop_clk_en,0x501080E0,1,(2:2),R/W,DSP CLI TOP Clock Enable
ACTIVE,actvclkgen_actvclkgen_dsp_hclk_en,0x501080E0,1,(3:3),R/W,DSP H Clock Enable
ACTIVE,actvclkgen_actvclkgen_dsp_pclk3_en,0x501080E0,1,(4:4),R/W,DSP PCLK3 Enable
ACTIVE,actvclkgen_dsp_topreg_clk_en,0x501080E0,1,(5:5),R/W,DSP top regfile Clock Enable
ACTIVE,actvclkgen_dsp_clitop_bus_clk_en,0x501080E0,1,(6:6),R/W,DSP CLI TOP BUS Clock Enable
ACTIVE,actvclkgen_dsp_dfemdmtop_bus_clk_en,0x501080E0,1,(7:7),R/W,DSP DFE MDMTOP BUS Clock Enable
ACTIVE,actvclkgen_dsp_pclk2_en,0x501080E0,1,(8:8),R/W,DSP PCLK2 Enable
