sequence,sub_seq,fps,start,end,frames,start_n,end_n,dur,SV,ARC,LR,FM,FOC,POC,OV,BC,IV,VC,CM,SOB
group2,group2_1,96,000001,002900,907,1,907,30,1,1,0,0,1,1,0,1,0,1,1,1
group2,group2_2,96,002900,005665,865,907,1771,29,1,0,0,0,1,1,0,0,0,1,1,1
group2,group2_3,96,005665,008583,913,1771,2683,30,1,1,1,0,1,1,0,1,1,1,1,1
group3,group3_1,96,000500,005511,1567,1,1567,52,1,1,1,0,0,1,0,0,0,0,0,1
group3,group3_2,96,005511,009543,1261,1567,2827,42,1,1,1,0,1,1,0,1,1,0,1,1
group3,group3_3,96,009543,014477,1543,2827,4369,51,1,1,0,0,0,1,0,1,0,0,1,1
group3,group3_4,96,014477,018183,1159,4369,5527,39,1,1,1,0,1,1,0,1,1,0,1,1
person1,person1,30,000001,000799,799,1,799,27,0,0,0,0,0,0,0,0,0,0,1,0
person2,person2_1,30,001111,002299,1189,1,1189,40,0,0,0,0,0,0,0,0,0,0,1,0
person2,person2_2,30,002299,003733,1435,1189,2623,48,0,0,0,0,0,1,1,0,0,0,1,0
person3,person3,30,001075,001717,643,1,643,21,1,0,0,0,0,0,0,0,0,0,1,0
person4,person4_1,30,002299,003799,1501,1,1501,50,1,0,0,0,0,1,1,0,0,0,1,1
person4,person4_2,30,003799,005041,1243,1501,2743,41,1,0,0,0,0,0,0,0,0,0,1,0
person5,person5_1,30,000199,001075,877,1,877,29,1,0,0,0,0,0,0,0,0,1,0,0
person5,person5_2,30,001075,002299,1225,877,2101,41,0,0,0,0,0,0,0,0,0,1,0,0
person6,person6,30,003043,003943,901,1,901,30,0,0,0,0,0,0,0,0,0,1,1,0
person7,person7_1,30,000097,001345,1249,1,1249,42,1,1,0,1,1,1,1,0,0,1,1,0
person7,person7_2,30,001345,002161,817,1249,2065,27,1,1,0,1,0,1,1,0,0,1,1,0
person8,person8_1,30,000001,001075,1075,1,1075,36,1,1,0,1,1,1,1,0,0,0,1,0
person8,person8_2,30,001075,001525,451,1075,1525,15,1,1,0,0,0,1,1,0,0,0,0,0
person9,person9,30,002515,003175,661,1,661,22,1,1,0,0,1,1,1,0,0,1,1,1
person10,person10,30,003313,004333,1021,1,1021,34,1,0,0,0,1,1,1,0,0,1,1,1
person11,person11,30,005335,006055,721,1,721,24,1,1,0,0,0,1,0,0,0,1,0,1
person12,person12_1,30,000001,000601,601,1,601,20,0,0,0,0,0,0,0,1,1,1,1,0
person12,person12_2,30,000601,001621,1021,601,1621,34,1,1,0,0,1,1,0,0,1,0,1,0
person13,person13,30,001855,002737,883,1,883,29,0,0,0,0,0,1,0,1,1,1,0,0
person14,person14_1,96,000001,002708,847,1,847,28,1,1,1,0,1,1,0,1,0,0,1,0
person14,person14_2,96,002708,005799,967,847,1813,32,0,0,0,0,0,0,0,1,0,0,1,0
person14,person14_3,96,005799,009351,1111,1813,2923,37,0,0,0,0,0,1,1,1,0,1,1,0
person15,person15,96,002996,007277,1339,1,1339,45,1,0,0,0,0,1,0,0,0,0,0,1
person16,person16,96,009332,012999,1147,1,1147,38,1,1,0,0,1,1,0,1,1,0,1,0
person17,person17_1,96,013402,018202,1501,1,1501,50,1,1,0,0,1,1,0,0,1,0,0,0
person17,person17_2,96,018202,020909,847,1501,2347,28,1,1,0,0,0,1,0,1,1,0,1,0
person18,person18,96,000845,005299,1393,1,1393,46,1,1,0,0,0,1,1,0,0,1,1,0
person19,person19_1,96,006605,010580,1243,1,1243,41,1,1,0,1,1,1,1,0,0,0,1,0
person19,person19_2,96,010580,015533,1549,1243,2791,52,1,1,0,1,1,1,1,0,0,0,1,0
person19,person19_3,96,015533,020544,1567,2791,4357,52,1,1,1,1,1,1,1,0,0,1,1,1
person20,person20,96,022445,028147,1783,1,1783,59,1,1,0,0,0,1,1,0,0,1,1,1
person21,person21,30,000001,000487,487,1,487,16,1,1,1,0,0,1,0,1,1,1,0,1
person22,person22,30,000001,000199,199,1,199,7,1,0,1,0,0,0,0,0,0,1,0,0
person23,person23,30,000001,000397,397,1,397,13,1,0,0,1,0,0,0,0,0,0,1,0
truck1,truck1,30,000001,000463,463,1,463,15,1,1,0,0,0,1,0,0,0,1,0,0
truck2,truck2,30,000001,000385,385,1,385,13,1,1,1,0,0,1,0,0,0,0,0,0
truck3,truck3,30,000001,000535,535,1,535,18,0,0,1,0,0,1,0,1,0,0,0,0
truck4,truck4_1,30,000001,000577,577,1,577,19,1,0,1,0,0,1,0,0,0,0,0,0
truck4,truck4_2,30,000577,001261,685,577,1261,23,1,0,1,0,0,1,0,0,0,1,0,0
uav1,uav1_1,30,000001,001555,1555,1,1555,52,1,1,1,0,1,1,1,1,1,1,1,0
uav1,uav1_2,30,001555,002377,823,1555,2377,27,1,1,1,0,1,1,1,1,1,1,0,0
uav1,uav1_3,30,002473,003469,997,2473,3469,33,1,1,1,1,1,1,1,1,1,1,1,0
uav2,uav2,30,000001,000133,133,1,133,4,1,0,1,0,1,1,0,0,0,0,0,0
uav3,uav3,30,000001,000265,265,1,265,9,1,0,1,1,0,0,0,0,0,0,1,0
uav4,uav4,30,000001,000157,157,1,157,5,1,0,1,0,0,0,0,0,0,0,0,1
uav5,uav5,30,000001,000139,139,1,139,5,1,0,1,0,0,0,0,1,0,0,0,0
uav6,uav6,30,000001,000109,109,1,109,4,1,0,1,1,1,1,0,0,0,0,1,1
uav7,uav7,30,000001,000373,373,1,373,12,1,0,1,0,1,1,0,1,0,0,0,0
uav8,uav8,30,000001,000301,301,1,301,10,1,0,1,0,0,0,0,1,1,0,0,0
wakeboard1,wakeboard1,96,000001,001345,421,1,421,14,1,1,0,0,0,0,0,0,1,0,0,0
wakeboard2,wakeboard2,96,000001,002343,733,1,733,24,1,1,0,1,0,0,0,0,0,1,1,0
wakeboard3,wakeboard3,96,000001,002631,823,1,823,27,1,1,1,0,0,0,0,0,0,1,1,0
wakeboard4,wakeboard4,96,000001,002228,697,1,697,23,1,1,0,0,0,0,0,0,0,1,0,0
wakeboard5,wakeboard5,96,000001,005357,1675,1,1675,56,1,1,1,1,0,1,0,0,1,1,1,0
wakeboard6,wakeboard6,96,000001,003725,1165,1,1165,39,1,1,1,1,0,0,0,0,1,1,1,0
wakeboard7,wakeboard7,96,000001,000634,199,1,199,7,1,1,0,0,0,0,0,0,0,1,0,0
wakeboard8,wakeboard8,96,000001,004935,1543,1,1543,51,1,1,1,0,0,0,0,0,1,1,1,0
wakeboard9,wakeboard9,96,000001,001133,355,1,355,12,1,0,1,0,0,0,0,0,0,0,1,0
wakeboard10,wakeboard10,96,000001,001498,469,1,469,16,1,0,1,0,0,0,0,0,0,0,0,0
car1_s,car1_s,30,000001,001475,1475,1,469,49,1,1,0,1,0,1,1,0,1,1,1,0
car2_s,car2_s,30,000001,000320,320,1,320,11,1,0,0,1,0,1,0,0,1,1,1,0
car3_s,car3_s,30,000001,001300,1300,1,1300,43,1,0,0,1,0,1,0,0,1,1,1,0
car4_s,car4_s,30,000001,000830,830,1,830,28,1,1,0,1,0,0,0,0,1,1,1,0
person1_s,person1_s,30,000001,001600,1600,1,1600,53,1,0,0,1,0,1,0,0,1,1,1,0
person2_s,person2_s,30,000001,000250,250,1,250,8,0,0,0,0,0,0,0,0,0,0,0,0
person3_s,person3_s,30,000001,000505,505,1,505,17,1,1,0,1,0,1,1,0,1,0,1,0
